Cleint,Account Manager,Platform,Email
Autotrader,Ben,VWO,autotrader@endlessgain.com
Bella and Duke,Garret,Google Optimize,belladuke@endlessgain.com
Blinds Direct,Amy,VWO,interiorgoods@endlessgain.com
Brompton,Alex,Optimize (Free),bromptonbikes@endlessgain.com
Cadogan Clinics,Garret,Google Optimize,cadogan@endlessgain.com
Current Body,Zoe,SiteGainer,currentbody@endlessgain.com
Chums,Zoe,SiteGainer,chums@endlessgain.com
Destination Skin,Amy/Sarah,Google Optimize,skn@endlessgain.com
Flavourly,Alex,Google Optimize,flavourly@endlessgain.com
Fragrance Direct,Amy,AB Tasty,fragrancedirect@endlessgain.com
Hotter Shoes ,Ben,Monetate,hotter@endlessgain.com
Instasmile,Zoe,Google Optimize,instasmile@endlessgain.com
Moda Furnishings,Garret/Tania,SiteGainer Dynamic Yield,moda@endlessgain.com
Moss Bros,Amy/Garret,Dynamic Yield,mossbros@endlessgain.com
Oakhouse Foods,Zoe,Google Optimize,oakhousefoods@endlessgain.com
Poles Direct,Amy,VWO,interiorgoods@endlessgain.com
Quotezone ,Garret,Google Optimize,quotezone@endlessgain.com
Studio ,Garret,Qubit,studio@endlessgain.com
Sk:n,Amy/Sarah,VWO,skn@endlessgain.com
